circuitId,circuitRef,name,location,country,url
55,reims,Reims-Gueux,Reims,France,http://en.wikipedia.org/wiki/Reims-Gueux
56,george,Prince George Circuit,Eastern Cape Province,South Africa,http://en.wikipedia.org/wiki/Prince_George_Circuit
57,zeltweg,Zeltweg,Styria,Austria,http://en.wikipedia.org/wiki/Zeltweg_Airfield
58,aintree,Aintree,Liverpool,UK,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit
59,boavista,Circuito da Boavista,Oporto,Portugal,http://en.wikipedia.org/wiki/Circuito_da_Boavista
60,riverside,Riverside International Raceway,California,USA,http://en.wikipedia.org/wiki/Riverside_International_Raceway
61,avus,AVUS,Berlin,Germany,http://en.wikipedia.org/wiki/AVUS
62,monsanto,Monsanto Park Circuit,Lisbon,Portugal,http://en.wikipedia.org/wiki/Monsanto_Park_Circuit
63,sebring,Sebring International Raceway,Florida,USA,http://en.wikipedia.org/wiki/Sebring_Raceway
64,ain-diab,Ain Diab,Casablanca,Morocco,http://en.wikipedia.org/wiki/Ain-Diab_Circuit
65,pescara,Pescara Circuit,Pescara,Italy,http://en.wikipedia.org/wiki/Pescara_Circuit
66,bremgarten,Circuit Bremgarten,Bern,Switzerland,http://en.wikipedia.org/wiki/Circuit_Bremgarten
67,pedralbes,Circuit de Pedralbes,Barcelona,Spain,http://en.wikipedia.org/wiki/Pedralbes_Circuit
68,buddh,Buddh International Circuit,Uttar Pradesh,India,http://en.wikipedia.org/wiki/Buddh_International_Circuit
69,americas,Circuit of the Americas,Austin,USA,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
70,red_bull_ring,Red Bull Ring,Spielburg,Austria,http://en.wikipedia.org/wiki/Red_Bull_Ring
71,sochi,Sochi Autodrom,Sochi,Russia,http://en.wikipedia.org/wiki/Sochi_Autodrom
72,port_imperial,Port Imperial Street Circuit,New Jersey,USA,http://en.wikipedia.org/wiki/Port_Imperial_Street_Circuit
73,BAK,Baku City Circuit,Baku,Azerbaijan,http://en.wikipedia.org/wiki/Baku_City_Circuit
74,hanoi,Hanoi Street Circuit,Hanoi,Vietnam,http://en.wikipedia.org/wiki/Hanoi_Street_Circuit
75,portimao,Autódromo Internacional do Algarve,Portimão,Portugal,http://en.wikipedia.org/wiki/Algarve_International_Circuit
76,mugello,Autodromo Internazionale del Mugello,Mugello,Italy,http://en.wikipedia.org/wiki/Mugello_Circuit
77,jeddah,Jeddah Street Circuit,Jeddah,Saudi Arabia,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit
